"Route","Stop","Year","Rich_Grass","Route_factor","Year_Num","Burned","Year_Burned","easting","northing","count","mean","sum","stdDev","TSF"
"BoxElderRidge",1,2010,3,"BoxElderRidge",1,"0",NA,367697.196748312,4544023.61012314,799,7.451985292,5523.67451,9.298071723,-1
"BoxElderRidge",2,2010,3,"BoxElderRidge",1,"0",2014,367690.825675202,4543169.88547438,798,7.855778743,5823.411765,9.81480362,-1
"BoxElderRidge",3,2010,3,"BoxElderRidge",1,"1",2008,367763.256272645,4542370.2384494,798,8.851038497,6559.313725,14.71664046,2
"BoxElderRidge",4,2010,3,"BoxElderRidge",1,"0",NA,367705.632520873,4541482.93403411,802,26.96800483,19984.4549,21.56599929,-1
"BoxElderRidge",5,2010,3,"BoxElderRidge",1,"0",NA,367893.973226438,4540744.47059982,795,27.80450292,20601.93725,20.99367738,-1
"BoxElderRidge",6,2010,3,"BoxElderRidge",1,"0",NA,368081.66349853,4539980.8108851,804,27.23568562,20172.13725,22.07431094,-1
"BoxElderRidge",7,2010,4,"BoxElderRidge",1,"0",NA,367781.565418519,4539180.36793603,800,30.30283606,22450.71765,17.00667034,-1
"BoxElderRidge",8,2010,3,"BoxElderRidge",1,"0",NA,367535.233434677,4538393.29267739,796,21.64073207,16025.51373,18.24566961,-1
"BoxElderRidge",9,2010,2,"BoxElderRidge",1,"0",NA,367097.39088968,4537660.29279307,800,13.64270052,10101.37647,14.16204412,-1
"BoxElderRidge",10,2010,2,"BoxElderRidge",1,"0",NA,366526.151697716,4537096.55134931,797,18.76444021,13897.82745,16.64578979,-1
"BoxElderRidge",11,2010,2,"BoxElderRidge",1,"0",NA,366417.007712054,4536125.94426551,800,26.12343123,19345.88627,19.03700344,-1
"BoxElderRidge",12,2010,5,"BoxElderRidge",1,"0",NA,366155.554754345,4535333.06676196,795,11.02511969,8163.603922,12.9930759,-1
"BoxElderRidge",13,2010,3,"BoxElderRidge",1,"0",2014,365827.47156511,4534613.24490602,798,20.7790532,15383.26275,17.01946313,-1
"BoxElderRidge",14,2010,3,"BoxElderRidge",1,"0",NA,365702.961303721,4533688.86367319,796,18.04655536,13360.53725,13.17099902,-1
"BoxElderRidge",15,2010,3,"BoxElderRidge",1,"0",NA,365720.197366266,4532985.66563201,801,20.93646252,15496.18431,19.24940389,-1
"BoxElderRidge",16,2010,2,"BoxElderRidge",1,"0",NA,365130.291757136,4532638.7840439,798,39.2359235,29034.73725,22.34894205,-1
"BoxElderRidge",17,2010,1,"BoxElderRidge",1,"0",NA,364960.495968283,4531743.92096949,799,47.77510123,35349.07843,25.48600224,-1
"BoxElderRidge",18,2010,2,"BoxElderRidge",1,"0",NA,364947.693578724,4530934.23672589,798,31.53704705,23338.15686,23.03950827,-1
"BoxElderRidge",19,2010,3,"BoxElderRidge",1,"0",NA,365127.146494178,4530146.68471191,793,29.82134603,22061.24706,17.53698383,-1
"BoxElderRidge",20,2010,3,"BoxElderRidge",1,"0",NA,365164.109718103,4529426.88523188,796,20.92616994,15482.32941,17.3338474,-1
"BoxElderRidge",21,2010,3,"BoxElderRidge",1,"0",NA,365331.591279749,4528627.05966581,799,22.14652055,16381.65098,16.87461998,-1
"BoxElderRidge",22,2010,3,"BoxElderRidge",1,"0",NA,365525.713581121,4527817.7738119,803,20.00575758,14798.06275,16.71702714,-1
"BoxElderRidge",23,2010,3,"BoxElderRidge",1,"0",NA,365749.122965784,4527053.48771285,795,28.05217267,20741.77647,18.84641852,-1
"BoxElderRidge",24,2010,4,"BoxElderRidge",1,"0",2016,365869.87038579,4526255.02755283,798,29.47850363,21801.37647,19.22464389,-1
"BoxElderRidge",25,2010,5,"BoxElderRidge",1,"0",2016,366289.615369325,4525709.55631907,798,17.37076477,12845.30588,17.75978614,-1
"BoxElderRidge",26,2010,3,"BoxElderRidge",1,"0",2016,366574.167179561,4524929.48097712,798,16.25436619,12018.73333,18.23173013,-1
"BoxElderRidge",27,2010,4,"BoxElderRidge",1,"0",2016,366897.451521272,4524112.41956713,798,10.80703476,7989.619608,11.96928754,-1
"BoxElderRidge",28,2010,2,"BoxElderRidge",1,"0",NA,367089.737044968,4523528.10667253,792,15.0668283,11137.51765,17.43001108,-1
"BoxElderRidge",29,2010,6,"BoxElderRidge",1,"1",2007,366224.646202932,4523112.90192701,801,14.58916271,10781.21961,16.52757599,3
"BoxElderRidge",30,2010,4,"BoxElderRidge",1,"0",NA,365779.813271974,4522842.86039053,798,10.29950343,7613.231373,15.65117482,-1
"BoxElderRidge",31,2010,3,"BoxElderRidge",1,"0",NA,365944.039181842,4521930.04335559,793,11.07668188,8187.188235,14.93203041,-1
"BoxElderRidge",32,2010,3,"BoxElderRidge",1,"0",NA,366087.070278447,4521123.87775759,790,9.29056804,6866.094118,14.89625873,-1
"BoxElderRidge",33,2010,3,"BoxElderRidge",1,"0",NA,366527.605313024,4520435.04483092,800,27.18846278,20092.91373,23.16380528,-1
"BoxElderRidge",34,2010,3,"BoxElderRidge",1,"0",NA,366441.151079325,4519877.94186137,797,16.34200862,12075.6549,22.42631341,-1
"BoxElderRidge",35,2010,6,"BoxElderRidge",1,"0",NA,366040.119681585,4519407.87769638,796,4.016607663,2967.67451,6.753382321,-1
"BoxElderRidge",36,2010,6,"BoxElderRidge",1,"0",NA,365772.749512268,4518672.09099727,792,9.896944154,7311.823529,12.24526892,-1
"BoxElderRidge",37,2010,3,"BoxElderRidge",1,"0",NA,365893.504759753,4517958.90896796,797,14.19359634,10484.39216,13.95898749,-1
"BoxElderRidge",38,2010,6,"BoxElderRidge",1,"0",NA,366041.951655891,4517261.6676207,792,12.95272187,9564.188235,15.2909743,-1
"BoxElderRidge",39,2010,6,"BoxElderRidge",1,"0",NA,366425.987447685,4516428.81963105,798,7.557893787,5581.54902,11.75699748,-1
"BoxElderRidge",40,2010,4,"BoxElderRidge",1,"0",NA,366343.837456653,4515652.55201469,797,7.47314032,5518.752941,12.8858018,-1
"BoxElderRidge",41,2010,4,"BoxElderRidge",1,"0",NA,366317.988186055,4514804.69554219,792,6.510942819,4807.807843,11.1314769,-1
"BoxElderRidge",42,2010,4,"BoxElderRidge",1,"0",NA,366275.294005417,4513854.83295104,800,2.908787211,2147.768627,6.055450928,-1
"BoxElderRidge",43,2010,6,"BoxElderRidge",1,"0",NA,366256.995431024,4513043.02263967,792,0.993821553,733.6156863,1.726024417,-1
"BoxElderRidge",44,2010,5,"BoxElderRidge",1,"0",2015,366563.614093046,4512210.96301386,800,7.88639201,5821.54902,9.101619962,-1
"BoxElderRidge",45,2010,2,"BoxElderRidge",1,"0",NA,366145.411731844,4511598.58446087,792,8.765538164,6469.792157,9.877588117,-1
"BoxElderRidge",46,2010,4,"BoxElderRidge",1,"0",2015,366574.562368804,4510730.25150071,793,8.950001594,6604.960784,8.382281796,-1
"BoxElderRidge",47,2010,3,"BoxElderRidge",1,"0",NA,367071.729825126,4510118.99147642,788,9.429754086,6959.380392,9.472695994,-1
"BoxElderRidge",48,2010,4,"BoxElderRidge",1,"0",NA,367049.328566362,4509443.07166836,798,6.489168332,4788.039216,7.445790926,-1
"BoxElderRidge",49,2010,5,"BoxElderRidge",1,"0",NA,366493.830329285,4508799.65359048,797,14.9783934,11050.94118,16.49488678,-1
"BoxElderRidge",50,2010,4,"BoxElderRidge",1,"0",NA,365908.256786935,4508182.81557667,797,13.63665017,10061.22745,17.04309214,-1
"BoxElderRidge",51,2010,6,"BoxElderRidge",1,"0",NA,365423.195939068,4507470.45612101,798,1.265626495,933.6352941,1.250099713,-1
"BoxElderRidge",1,2011,6,"BoxElderRidge",2,"0",NA,367697.196748312,4544023.61012314,799,5.813189429,4308.941176,9.547886567,-1
"BoxElderRidge",2,2011,6,"BoxElderRidge",2,"0",2014,367690.825675202,4543169.88547438,798,5.83220564,4323.356863,9.120931601,-1
"BoxElderRidge",3,2011,6,"BoxElderRidge",2,"1",2008,367763.256272645,4542370.2384494,798,7.347294616,5444.921569,13.31806841,3
"BoxElderRidge",4,2011,3,"BoxElderRidge",2,"0",NA,367705.632520873,4541482.93403411,802,30.60321963,22678.30588,22.67151982,-1
"BoxElderRidge",5,2011,2,"BoxElderRidge",2,"0",NA,367893.973226438,4540744.47059982,795,31.52706622,23360.19608,22.88131649,-1
"BoxElderRidge",6,2011,4,"BoxElderRidge",2,"0",NA,368081.66349853,4539980.8108851,804,30.44883674,22551.96078,22.23722726,-1
"BoxElderRidge",7,2011,1,"BoxElderRidge",2,"0",NA,367781.565418519,4539180.36793603,800,34.62139802,25650.24706,17.61867755,-1
"BoxElderRidge",8,2011,3,"BoxElderRidge",2,"0",NA,367535.233434677,4538393.29267739,796,23.33323448,17278.8549,20.10652705,-1
"BoxElderRidge",9,2011,3,"BoxElderRidge",2,"0",NA,367097.39088968,4537660.29279307,800,13.55542668,10036.75686,14.40967768,-1
"BoxElderRidge",10,2011,3,"BoxElderRidge",2,"0",NA,366526.151697716,4537096.55134931,797,17.06385513,12638.29412,16.80095025,-1
"BoxElderRidge",11,2011,3,"BoxElderRidge",2,"0",NA,366417.007712054,4536125.94426551,800,23.39148071,17322.72157,18.61165226,-1
"BoxElderRidge",12,2011,4,"BoxElderRidge",2,"0",NA,366155.554754345,4535333.06676196,795,9.657815016,7151.176471,11.07094154,-1
"BoxElderRidge",13,2011,5,"BoxElderRidge",2,"0",2014,365827.47156511,4534613.24490602,798,18.65873516,13813.53725,15.79552337,-1
"BoxElderRidge",14,2011,3,"BoxElderRidge",2,"0",NA,365702.961303721,4533688.86367319,796,17.97218544,13305.47843,17.71046928,-1
"BoxElderRidge",15,2011,4,"BoxElderRidge",2,"0",NA,365720.197366266,4532985.66563201,801,20.8714998,15448.10196,22.22581919,-1
"BoxElderRidge",16,2011,2,"BoxElderRidge",2,"0",NA,365130.291757136,4532638.7840439,798,40.54039459,30000.05098,21.83359557,-1
"BoxElderRidge",17,2011,4,"BoxElderRidge",2,"0",NA,364960.495968283,4531743.92096949,799,47.25866565,34966.96471,25.75099503,-1
"BoxElderRidge",18,2011,4,"BoxElderRidge",2,"0",NA,364947.693578724,4530934.23672589,798,30.59937681,22644.25882,23.74109825,-1
"BoxElderRidge",19,2011,2,"BoxElderRidge",2,"0",NA,365127.146494178,4530146.68471191,793,32.3180064,23908.22745,20.18650605,-1
"BoxElderRidge",20,2011,5,"BoxElderRidge",2,"0",NA,365164.109718103,4529426.88523188,796,23.30769679,17244.31373,18.83214052,-1
"BoxElderRidge",21,2011,4,"BoxElderRidge",2,"0",NA,365331.591279749,4528627.05966581,799,22.61674672,16729.47451,19.32102652,-1
"BoxElderRidge",22,2011,3,"BoxElderRidge",2,"0",NA,365525.713581121,4527817.7738119,803,19.07439787,14109.1451,16.98085145,-1
"BoxElderRidge",23,2011,1,"BoxElderRidge",2,"0",NA,365749.122965784,4527053.48771285,795,27.51508642,20344.6549,19.00065199,-1
"BoxElderRidge",24,2011,2,"BoxElderRidge",2,"0",2016,365869.87038579,4526255.02755283,798,29.69409831,21960.82353,20.37626881,-1
"BoxElderRidge",25,2011,4,"BoxElderRidge",2,"0",2016,366289.615369325,4525709.55631907,798,18.99452184,14046.03922,18.93477771,-1
"BoxElderRidge",26,2011,4,"BoxElderRidge",2,"0",2016,366574.167179561,4524929.48097712,798,18.7460581,13861.12941,18.75984282,-1
"BoxElderRidge",27,2011,2,"BoxElderRidge",2,"0",2016,366897.451521272,4524112.41956713,798,9.658324537,7140.380392,12.49470965,-1
